iter	Passed	Remaining
0	3	1936
1	11	3114
2	17	3056
3	23	3148
4	27	2949
5	31	2815
6	35	2743
7	40	2684
8	46	2750
9	51	2743
10	56	2739
11	60	2670
12	63	2576
13	66	2520
14	70	2470
15	73	2420
16	76	2370
17	80	2327
18	84	2317
19	87	2276
20	91	2255
21	94	2233
22	97	2206
23	100	2173
24	103	2143
25	106	2111
26	109	2083
27	111	2051
28	114	2022
29	117	1998
30	119	1971
31	122	1948
32	125	1927
33	127	1907
34	130	1888
35	133	1867
36	136	1853
37	138	1833
38	141	1820
39	144	1804
40	146	1791
41	149	1774
42	152	1761
43	154	1747
44	157	1733
45	160	1722
46	162	1709
47	165	1696
48	167	1684
49	170	1672
50	172	1662
51	175	1653
52	178	1643
53	181	1632
54	183	1622
55	186	1616
56	189	1608
57	191	1598
58	194	1591
59	197	1583
60	200	1575
61	203	1570
62	205	1561
63	208	1552
64	210	1544
65	213	1537
66	216	1529
67	218	1522
68	221	1515
69	224	1509
70	227	1504
71	229	1496
72	232	1491
73	235	1483
74	237	1478
75	240	1472
76	243	1467
77	246	1461
78	248	1455
79	251	1448
80	254	1442
81	256	1437
82	259	1431
83	262	1425
84	264	1420
85	267	1415
86	270	1409
87	272	1403
88	275	1399
89	278	1395
90	281	1389
91	283	1385
92	286	1380
93	289	1375
94	292	1371
95	294	1366
96	297	1362
97	300	1358
98	303	1353
99	306	1350
100	309	1346
101	311	1342
102	314	1339
103	317	1334
104	320	1329
105	322	1325
106	325	1320
107	328	1315
108	330	1310
109	333	1306
110	336	1302
111	339	1299
112	342	1295
113	345	1292
114	347	1288
115	350	1284
116	353	1280
117	355	1276
118	358	1271
119	361	1267
120	364	1263
121	366	1259
122	369	1256
123	372	1252
124	375	1248
125	377	1243
126	380	1239
127	383	1236
128	385	1232
129	388	1227
130	390	1223
131	393	1218
132	396	1215
133	398	1210
134	401	1206
135	403	1202
136	406	1198
137	409	1195
138	411	1191
139	414	1188
140	417	1184
141	420	1180
142	422	1177
143	425	1173
144	428	1169
145	430	1165
146	433	1160
147	435	1156
148	438	1152
149	440	1148
150	443	1145
151	446	1142
152	449	1138
153	451	1135
154	454	1132
155	457	1128
156	460	1125
157	462	1121
158	465	1118
159	468	1114
160	470	1111
161	473	1107
162	476	1103
163	478	1100
164	481	1096
165	483	1093
166	486	1089
167	489	1086
168	491	1082
169	494	1078
170	496	1075
171	499	1071
172	501	1067
173	504	1064
174	507	1061
175	509	1057
176	512	1054
177	515	1051
178	518	1048
179	521	1045
180	524	1042
181	527	1040
182	530	1037
183	533	1035
184	536	1032
185	539	1028
186	542	1026
187	544	1022
188	547	1018
189	549	1015
190	552	1011
191	554	1008
192	557	1005
193	560	1002
194	563	999
195	565	995
196	568	992
197	570	988
198	573	985
199	576	982
200	579	979
201	581	976
202	584	973
203	587	970
204	590	967
205	592	964
206	595	961
207	598	957
208	600	954
209	603	951
210	606	948
211	609	945
212	611	942
213	614	938
214	616	935
215	619	932
216	622	929
217	624	925
218	627	922
219	629	919
220	632	916
221	635	912
222	637	909
223	640	906
224	643	903
225	645	900
226	648	897
227	651	894
228	653	890
229	656	887
230	659	884
231	661	881
232	664	878
233	667	875
234	670	872
235	672	869
236	675	866
237	678	864
238	681	861
239	684	857
240	686	854
241	689	851
242	692	849
243	695	846
244	697	842
245	700	839
246	703	836
247	705	834
248	708	830
249	711	828
250	714	825
251	716	821
252	719	818
253	722	816
254	724	812
255	727	809
256	730	806
257	733	804
258	735	801
259	738	798
260	740	794
261	743	791
262	746	788
263	749	785
264	751	782
265	754	779
266	757	777
267	760	774
268	762	771
269	765	768
270	768	765
271	770	762
272	773	759
273	776	756
274	778	753
275	781	750
