iter	Passed	Remaining
276	784	747
277	786	744
278	789	741
279	792	738
280	794	735
281	797	732
282	800	729
283	802	726
284	805	723
285	808	720
286	810	717
287	813	714
288	815	711
289	818	708
290	821	705
291	824	702
292	826	699
293	829	696
294	831	693
295	834	690
296	837	687
297	839	684
298	842	681
299	845	679
300	848	676
301	850	673
302	853	670
303	856	667
304	858	664
305	861	661
306	864	658
307	869	657
308	871	654
309	874	651
310	877	648
311	879	645
312	882	642
313	885	639
314	887	636
315	890	633
316	893	631
317	895	628
318	898	625
319	901	622
320	904	619
321	907	616
322	910	614
323	912	611
324	915	608
325	918	605
326	920	602
327	923	599
328	925	596
329	928	593
330	931	590
331	933	587
332	936	584
333	938	581
334	941	578
335	944	576
336	946	573
337	949	570
338	952	567
339	955	564
340	957	561
341	960	558
342	963	555
343	965	553
344	968	550
345	971	547
346	973	544
347	976	541
348	978	538
349	981	535
350	984	532
351	986	529
352	989	527
353	992	524
354	995	521
355	997	518
356	1000	515
357	1003	512
358	1005	509
359	1008	506
360	1010	503
361	1013	501
362	1016	498
363	1018	495
364	1021	492
365	1024	489
366	1026	486
367	1029	483
368	1032	481
369	1034	478
370	1037	475
371	1039	472
372	1042	469
373	1044	466
374	1047	463
375	1050	460
376	1052	458
377	1055	455
378	1058	452
379	1060	449
380	1063	446
381	1065	443
382	1068	440
383	1071	437
384	1073	435
385	1076	432
386	1079	429
387	1081	426
388	1084	423
389	1087	421
390	1090	418
391	1092	415
392	1095	412
393	1098	409
394	1100	406
395	1102	403
396	1105	401
397	1108	398
398	1110	395
399	1113	392
400	1116	389
401	1119	387
402	1121	384
403	1124	381
404	1127	378
405	1129	375
406	1132	372
407	1135	370
408	1138	367
409	1140	364
410	1143	361
411	1146	358
412	1148	356
413	1151	353
414	1153	350
415	1156	347
416	1159	344
417	1161	341
418	1164	339
419	1167	336
420	1170	333
421	1172	330
422	1175	327
423	1178	325
424	1180	322
425	1183	319
426	1186	316
427	1188	313
428	1191	311
429	1194	308
430	1196	305
431	1199	302
432	1201	299
433	1204	296
434	1207	294
435	1209	291
436	1212	288
437	1215	285
438	1218	283
439	1220	280
440	1223	277
441	1225	274
442	1228	271
443	1231	269
444	1234	266
445	1237	263
446	1239	260
447	1242	257
448	1245	255
449	1247	252
450	1250	249
451	1253	246
452	1255	243
453	1258	241
454	1261	238
455	1263	235
456	1266	232
457	1269	229
458	1271	227
459	1274	224
460	1276	221
461	1279	218
462	1281	215
463	1284	213
464	1286	210
465	1289	207
466	1291	204
467	1294	201
468	1297	199
469	1300	196
470	1302	193
471	1305	190
472	1308	188
473	1310	185
474	1312	182
475	1315	179
476	1318	176
477	1321	174
478	1323	171
479	1326	168
480	1329	165
481	1331	163
482	1334	160
483	1337	157
484	1339	154
485	1342	151
486	1345	149
487	1348	146
488	1350	143
489	1352	140
490	1355	138
491	1358	135
492	1361	132
493	1363	129
494	1365	126
495	1368	124
496	1370	121
497	1373	118
498	1376	115
499	1379	113
500	1382	110
501	1385	107
502	1388	104
503	1391	102
504	1393	99
505	1396	96
506	1398	93
507	1401	91
508	1404	88
509	1406	85
510	1409	82
511	1411	79
512	1414	77
513	1417	74
514	1420	71
515	1422	68
516	1425	66
517	1428	63
518	1431	60
519	1433	57
520	1436	55
521	1438	52
522	1441	49
523	1444	46
524	1446	44
525	1449	41
526	1451	38
527	1454	35
528	1456	33
529	1459	30
530	1461	27
531	1464	24
532	1466	22
533	1469	19
534	1471	16
535	1474	13
536	1476	10
537	1479	8
538	1481	5
539	1484	2
540	1487	0
