iter	Logloss
0	0.6661383384
1	0.6398014503
2	0.6035874234
3	0.5719982486
4	0.5457479892
5	0.5124383322
6	0.4797442574
7	0.4619212525
8	0.4353397887
9	0.4107561629
10	0.3927930805
11	0.3768811273
12	0.3595537407
13	0.3396117014
14	0.3235635201
15	0.302578123
16	0.2909212469
17	0.2798023979
18	0.2667836842
19	0.2492279828
20	0.2371071228
21	0.2269647056
22	0.2174261801
23	0.2081871481
24	0.1978509836
25	0.1875648549
26	0.180785674
27	0.1737832673
28	0.1679013653
29	0.1597571339
30	0.1535468553
31	0.1486390566
32	0.1428175183
33	0.1381777769
34	0.133159922
35	0.1287787824
36	0.1247824639
37	0.1201370132
38	0.1157422778
39	0.1108113685
40	0.107156847
41	0.1049610302
42	0.1016379279
43	0.09673638384
44	0.09448783272
45	0.09172515943
46	0.08792323105
47	0.08437937851
48	0.08171134739
49	0.07921686622
50	0.07719498037
51	0.07481264018
52	0.07298930061
53	0.0706352333
54	0.06925927044
55	0.06705811454
56	0.06487034846
57	0.06287110164
58	0.06184813119
59	0.05996286612
60	0.05868834984
61	0.05686417785
62	0.05526826905
63	0.05381183772
64	0.05205983508
65	0.05113036504
66	0.05023586718
67	0.0489325551
68	0.04810827614
69	0.04718774141
70	0.0456349189
71	0.04481574979
72	0.04428046861
73	0.04310844468
74	0.04249691788
75	0.04155714789
76	0.04064534339
77	0.03985112601
78	0.03899666712
79	0.038199407
80	0.0377417332
81	0.03686177407
82	0.035936089
83	0.03506974005
84	0.03453511016
85	0.03408063318
86	0.03346417929
87	0.03281470795
88	0.03238568441
89	0.03197717981
90	0.03141369773
91	0.03087883604
92	0.03033197705
93	0.029797691
94	0.02945330639
95	0.0290713623
96	0.02872537582
97	0.02831064825
98	0.02754146926
99	0.02704383492
100	0.02667673292
101	0.02625301394
102	0.02582792603
103	0.02543406334
104	0.0250378768
105	0.02467735508
106	0.02431468098
107	0.02390247041
108	0.02364479986
109	0.02330993457
110	0.02292548273
111	0.0225047803
112	0.02203750459
113	0.02173941757
114	0.0213548405
115	0.02094987227
116	0.02062953527
117	0.02032806914
118	0.02006987842
119	0.01994100644
120	0.01965212914
121	0.01935904813
122	0.01913340354
123	0.01888556447
124	0.01845371791
125	0.01802616914
126	0.01776445161
127	0.01739050258
128	0.0169891488
129	0.01680939663
130	0.01646994946
131	0.01632614847
132	0.01592542349
133	0.01574182433
134	0.0155365466
135	0.01543841103
136	0.01517080916
137	0.01497961382
138	0.0147747197
139	0.01453549331
140	0.01440675968
141	0.01418211175
142	0.01403155036
143	0.0136851921
144	0.01346958864
145	0.01336792926
146	0.01312068721
147	0.01297787536
148	0.01279301579
149	0.01264934487
150	0.01251844154
151	0.01231379573
152	0.01222097085
153	0.01208574862
154	0.01185410867
155	0.01177325154
156	0.01162391521
157	0.01149199427
158	0.01140501768
159	0.01126085368
160	0.01115518312
161	0.01100715306
162	0.01083780561
