iter	Passed	Remaining
159	595	2170
160	599	2165
161	601	2157
162	604	2152
163	607	2146
164	610	2139
165	613	2133
166	617	2128
167	620	2122
168	623	2118
169	626	2112
170	629	2106
171	633	2101
172	636	2096
173	639	2090
174	642	2085
175	645	2080
176	648	2075
177	651	2069
178	654	2063
179	657	2057
180	660	2052
181	664	2046
182	667	2041
183	670	2036
184	673	2031
185	676	2026
186	679	2021
187	683	2017
188	686	2012
189	690	2008
190	693	2003
191	696	1999
192	699	1993
193	703	1989
194	706	1985
195	710	1981
196	712	1975
197	716	1971
198	719	1965
199	722	1960
200	725	1956
201	728	1951
202	731	1946
203	734	1941
204	737	1936
205	741	1932
206	744	1926
207	747	1921
208	750	1916
209	753	1911
210	756	1906
211	760	1903
212	762	1897
213	765	1892
214	768	1887
215	771	1883
216	775	1878
217	778	1874
218	781	1869
219	784	1865
220	787	1861
221	791	1857
222	793	1851
223	797	1847
224	800	1843
225	803	1837
226	806	1833
227	809	1829
228	812	1823
229	815	1819
230	817	1812
231	821	1808
232	824	1805
233	827	1799
234	829	1793
235	831	1786
236	834	1781
237	836	1775
238	840	1772
239	843	1768
240	845	1762
241	849	1759
242	852	1754
243	856	1751
244	860	1748
245	863	1744
246	865	1738
247	868	1733
248	871	1729
249	873	1723
250	876	1718
251	880	1714
252	883	1711
253	887	1708
254	891	1705
255	893	1700
256	897	1696
257	900	1693
258	904	1690
259	907	1686
260	910	1680
261	912	1676
262	916	1671
263	919	1667
264	922	1663
265	925	1660
266	928	1655
267	931	1651
268	935	1647
269	938	1643
270	942	1640
271	945	1636
272	949	1634
273	952	1629
274	955	1626
275	958	1622
276	961	1618
277	965	1614
278	968	1610
279	971	1606
280	974	1602
281	977	1598
282	981	1594
283	984	1591
284	987	1587
285	990	1583
286	994	1579
287	997	1576
288	1000	1572
289	1003	1568
290	1007	1564
291	1010	1560
292	1015	1558
293	1018	1554
294	1021	1551
295	1024	1547
296	1028	1543
297	1031	1540
298	1034	1536
299	1037	1532
300	1041	1528
301	1044	1524
302	1047	1520
303	1050	1517
304	1053	1513
305	1057	1509
306	1060	1506
307	1063	1502
308	1067	1499
309	1070	1495
310	1073	1491
311	1076	1487
312	1079	1483
313	1082	1479
314	1086	1476
315	1090	1473
316	1093	1469
317	1097	1466
318	1100	1462
319	1104	1459
320	1108	1457
321	1111	1453
322	1115	1449
323	1118	1446
324	1121	1442
325	1125	1439
326	1128	1435
327	1131	1430
328	1134	1427
329	1137	1423
330	1140	1420
331	1144	1416
332	1147	1413
333	1151	1409
334	1154	1406
335	1158	1403
336	1161	1399
337	1165	1396
338	1168	1392
339	1171	1388
340	1175	1385
341	1178	1382
342	1182	1378
343	1185	1375
344	1190	1373
345	1194	1370
346	1197	1366
347	1200	1362
348	1203	1358
349	1207	1355
350	1210	1351
351	1213	1348
352	1217	1344
353	1229	1351
354	1236	1351
355	1240	1348
356	1245	1346
357	1249	1343
358	1254	1341
359	1259	1339
360	1263	1336
361	1267	1334
362	1272	1331
363	1277	1329
364	1282	1328
365	1286	1325
366	1291	1323
367	1295	1319
368	1298	1316
369	1302	1313
370	1305	1309
371	1309	1305
372	1312	1302
373	1315	1297
374	1318	1293
375	1321	1290
376	1324	1286
377	1328	1282
378	1331	1279
379	1335	1275
380	1338	1272
381	1342	1268
382	1345	1264
383	1348	1260
384	1351	1256
385	1353	1252
386	1356	1248
387	1360	1244
388	1363	1241
389	1366	1236
390	1369	1233
391	1372	1229
392	1376	1225
393	1379	1222
394	1383	1218
395	1386	1214
396	1390	1211
397	1392	1207
398	1396	1203
399	1399	1200
400	1402	1196
401	1406	1192
402	1409	1189
403	1412	1185
404	1416	1181
405	1419	1178
406	1422	1174
407	1426	1171
408	1429	1167
409	1432	1163
410	1435	1159
411	1439	1156
412	1442	1152
413	1445	1148
414	1448	1144
415	1451	1141
416	1455	1137
417	1458	1133
418	1461	1130
419	1465	1126
420	1468	1123
421	1471	1119
422	1475	1116
423	1479	1112
424	1482	1109
425	1485	1105
426	1487	1101
427	1489	1096
428	1492	1092
429	1495	1088
430	1499	1085
431	1502	1081
432	1505	1077
433	1508	1074
434	1512	1070
435	1515	1066
436	1518	1063
437	1521	1059
438	1525	1056
439	1528	1052
440	1530	1048
441	1534	1044
442	1537	1041
443	1540	1037
444	1544	1034
445	1547	1030
446	1550	1026
447	1553	1023
448	1556	1019
449	1559	1015
450	1562	1011
451	1565	1008
452	1569	1004
453	1572	1000
454	1575	997
455	1579	993
456	1582	990
457	1585	986
458	1588	982
459	1591	978
460	1594	975
461	1597	971
462	1600	967
463	1603	964
464	1606	960
465	1609	956
466	1613	953
467	1616	949
468	1618	945
469	1621	942
470	1624	937
471	1627	934
472	1630	930
473	1634	927
474	1637	923
475	1640	920
476	1643	916
477	1646	912
478	1649	908
479	1652	905
480	1654	901
481	1657	897
482	1660	894
483	1664	890
484	1667	886
485	1670	883
486	1673	879
487	1676	876
488	1680	872
489	1683	869
490	1686	865
491	1689	861
492	1692	858
493	1695	854
494	1698	850
495	1701	847
496	1704	843
497	1707	840
498	1712	837
499	1714	833
500	1717	829
501	1721	826
502	1724	822
503	1726	818
504	1729	815
505	1733	811
506	1735	807
507	1738	804
508	1742	801
509	1745	797
510	1747	793
511	1749	789
512	1751	785
513	1754	781
514	1756	777
515	1759	774
516	1762	770
517	1764	766
518	1767	762
519	1769	758
520	1772	755
521	1775	751
522	1778	748
523	1780	744
524	1783	740
525	1785	736
526	1788	733
527	1791	729
528	1793	725
529	1795	721
530	1799	718
531	1802	714
532	1806	711
533	1809	708
534	1812	704
535	1814	700
536	1816	696
537	1819	693
538	1822	689
539	1825	686
540	1828	682
541	1831	679
542	1834	675
543	1837	672
544	1841	669
545	1844	665
546	1846	661
547	1849	658
548	1852	654
549	1855	651
550	1858	647
551	1861	644
552	1865	640
553	1868	637
554	1870	633
555	1873	630
556	1876	626
557	1879	623
558	1882	619
559	1885	616
560	1888	612
561	1892	609
562	1894	605
563	1898	602
564	1901	598
565	1904	595
566	1906	591
567	1910	588
568	1913	585
569	1916	581
570	1919	578
571	1922	574
572	1925	571
573	1927	567
574	1931	564
575	1934	560
576	1937	557
577	1940	554
578	1944	550
579	1947	547
580	1949	543
581	1951	539
582	1954	536
583	1957	532
584	1960	529
585	1962	525
586	1965	522
587	1968	518
588	1971	515
589	1974	511
590	1977	508
591	1980	505
592	1984	501
593	1987	498
594	1990	495
595	1992	491
596	1995	487
597	1997	484
598	2000	480
599	2003	477
600	2006	474
601	2009	470
602	2012	467
603	2015	463
604	2018	460
605	2020	456
606	2023	453
607	2025	449
608	2028	446
609	2030	442
610	2033	439
611	2036	435
612	2038	432
613	2041	429
614	2044	425
615	2047	422
616	2049	418
617	2052	415
618	2055	411
619	2057	408
620	2060	404
621	2063	401
622	2065	397
623	2068	394
624	2072	391
625	2076	388
626	2079	384
627	2082	381
628	2085	377
629	2087	374
630	2090	371
631	2093	367
632	2097	364
633	2100	361
634	2103	357
635	2106	354
636	2108	350
637	2111	347
638	2113	344
639	2116	340
640	2119	337
641	2122	333
642	2125	330
643	2128	327
644	2130	323
645	2133	320
646	2136	316
647	2139	313
648	2141	310
649	2144	306
650	2147	303
651	2150	300
652	2153	296
653	2155	293
654	2158	290
655	2161	286
656	2164	283
657	2167	279
658	2170	276
659	2172	273
660	2175	269
661	2178	266
662	2180	263
663	2182	259
664	2184	256
665	2187	252
666	2190	249
667	2194	246
668	2197	243
669	2200	239
670	2203	236
671	2205	233
672	2208	229
673	2211	226
674	2214	223
675	2217	219
676	2220	216
677	2223	213
678	2225	209
679	2228	206
680	2231	203
681	2234	199
682	2237	196
683	2240	193
684	2243	189
685	2246	186
686	2249	183
687	2252	180
688	2254	176
689	2257	173
690	2261	170
691	2263	166
692	2267	163
693	2269	160
694	2272	156
695	2275	153
696	2278	150
697	2280	147
698	2282	143
699	2284	140
700	2286	137
701	2289	133
702	2292	130
703	2295	127
704	2298	123
705	2301	120
706	2303	117
707	2306	114
708	2309	110
709	2311	107
710	2314	104
711	2317	100
712	2320	97
713	2322	94
714	2325	91
715	2327	87
716	2330	84
717	2333	81
718	2335	77
719	2338	74
720	2341	71
721	2344	68
722	2347	64
723	2350	61
724	2352	58
725	2356	55
726	2358	51
727	2362	48
728	2364	45
729	2367	42
730	2371	38
731	2374	35
732	2378	32
733	2381	29
734	2385	25
735	2388	22
736	2391	19
737	2395	16
738	2398	12
739	2401	9
740	2404	6
741	2407	3
742	2410	0
